passenger_class,is_female,age,siblings_spouses_aboard,parents_children_aboard,ticket_fare,target
3,1,2.0,4,2,31.28,0
2,0,21.0,2,0,73.5,0
2,0,32.5,1,0,30.07,0
2,1,32.5,0,0,13.0,1
1,0,54.0,0,1,77.29,0
3,0,12.0,1,0,11.24,1
3,0,24.0,0,0,7.14,1
3,0,45.0,0,0,6.98,0
3,0,33.0,0,0,7.9,0
3,0,20.0,0,0,7.05,0
3,1,47.0,1,0,14.5,0
2,1,29.0,1,0,26.0,1
2,0,25.0,0,0,13.0,0
2,0,23.0,0,0,15.05,0
1,1,19.0,0,2,26.28,1
1,0,37.0,1,0,53.1,0
3,0,16.0,0,0,9.22,0
1,0,24.0,0,0,79.2,0
3,1,22.0,0,0,7.75,1
3,1,24.0,1,0,15.85,1
3,0,19.0,0,0,6.75,0
2,0,18.0,0,0,11.5,0
2,0,19.0,1,1,36.75,0
3,0,27.0,0,0,7.8,1
3,1,9.0,2,2,34.38,0
2,0,36.5,0,2,26.0,0
2,0,42.0,0,0,13.0,0
2,0,51.0,0,0,12.52,0
1,1,22.0,1,0,66.6,1
3,0,55.5,0,0,8.05,0
3,0,40.5,0,2,14.5,0
1,0,51.0,0,1,61.38,0
3,1,16.0,0,0,7.73,1
3,0,30.0,0,0,8.05,0
3,0,44.0,0,1,16.1,0
2,1,40.0,0,0,15.75,1
3,0,26.0,0,0,7.78,0
3,0,17.0,0,0,8.66,0
3,0,1.0,4,1,39.69,0
3,0,9.0,0,2,20.52,1
3,1,45.0,1,4,27.9,0
3,0,28.0,0,0,56.5,0
1,0,61.0,0,0,33.5,0
3,0,4.0,4,1,29.12,0
3,1,1.0,1,1,11.13,1
3,0,21.0,0,0,7.92,0
1,0,56.0,0,0,30.7,0
3,0,18.0,1,1,7.85,0
1,1,50.0,0,0,28.71,0
2,0,30.0,0,0,13.0,0
3,0,36.0,0,0,0.0,0
3,0,9.0,4,2,31.39,0
2,0,1.0,2,1,39.0,1
3,1,4.0,0,2,22.02,1
1,0,45.0,0,0,26.55,1
3,0,40.0,1,1,15.5,0
3,0,36.0,0,0,7.9,0
2,1,32.0,0,0,13.0,1
2,0,19.0,0,0,13.0,0
3,1,19.0,1,0,7.85,1
2,0,3.0,1,1,26.0,1
1,1,44.0,0,0,27.72,1
1,1,58.0,0,0,146.52,1
3,0,42.0,0,1,8.4,0
2,1,24.0,0,0,13.0,0
3,0,28.0,0,0,9.5,0
3,0,34.0,0,0,6.5,0
3,0,45.5,0,0,7.22,0
3,0,18.0,0,0,8.05,1
3,1,2.0,0,1,10.46,0
3,0,32.0,1,0,15.85,0
3,0,26.0,0,0,18.79,1
3,1,16.0,0,0,7.75,1
1,0,40.0,0,0,31.0,1
3,0,24.0,0,0,7.05,0
2,1,35.0,0,0,21.0,1
3,0,22.0,0,0,7.25,0
2,0,30.0,0,0,13.0,0
1,1,31.0,1,0,113.28,1
3,1,27.0,0,0,7.92,1
2,0,42.0,1,0,27.0,0
1,1,32.0,0,0,76.29,1
2,0,30.0,0,0,10.5,0
3,0,16.0,0,0,8.05,1
2,0,27.0,0,0,13.0,0
3,0,51.0,0,0,8.05,0
1,0,38.0,1,0,90.0,1
3,0,22.0,0,0,9.35,0
2,0,19.0,0,0,10.5,1
3,0,20.5,0,0,7.25,0
2,0,18.0,0,0,13.0,0
1,1,35.0,1,0,83.48,1
3,0,29.0,0,0,7.78,0
2,0,59.0,0,0,13.5,0
3,1,5.0,4,2,31.39,1
2,0,24.0,0,0,10.5,0
2,0,44.0,1,0,26.0,0
2,1,8.0,0,2,26.25,1
2,0,19.0,0,0,10.5,0
2,0,33.0,0,0,12.28,0
2,0,29.0,0,0,10.5,0
3,0,22.0,0,0,7.12,0
3,0,30.0,0,0,7.22,0
1,0,44.0,2,0,90.0,0
3,1,25.0,0,0,7.78,0
2,1,24.0,0,2,14.5,1
1,0,37.0,1,1,52.55,1
2,0,54.0,1,0,26.0,0
3,1,29.0,1,1,10.46,0
1,0,62.0,0,0,26.55,0
3,0,30.0,1,0,16.1,0
3,1,41.0,0,2,20.21,0
3,1,29.0,0,2,15.25,1
1,1,30.0,0,0,86.5,1
1,1,35.0,0,0,512.33,1
2,1,50.0,0,1,26.0,1
3,0,3.0,4,2,31.39,1
1,0,52.0,1,1,79.65,0
1,0,40.0,0,0,0.0,0
2,0,36.0,0,0,10.5,0
3,0,16.0,4,1,39.69,0
3,0,25.0,1,0,7.78,1
1,1,58.0,0,1,153.46,1
1,1,35.0,0,0,135.63,1
3,0,25.0,0,0,0.0,1
2,1,41.0,0,1,19.5,1
1,0,37.0,0,1,29.7,0
1,1,63.0,1,0,77.96,1
3,1,45.0,0,0,7.75,0
3,0,7.0,4,1,29.12,0
3,1,35.0,1,1,20.25,1
3,0,65.0,0,0,7.75,0
3,0,28.0,0,0,7.85,0
3,0,16.0,0,0,9.5,0
3,0,19.0,0,0,8.05,1
3,0,33.0,0,0,8.66,0
3,0,30.0,0,0,9.5,1
3,0,22.0,0,0,7.9,0
2,0,42.0,0,0,13.0,1
3,1,22.0,0,0,7.75,1
1,1,26.0,0,0,78.85,1
1,1,19.0,1,0,91.08,1
2,0,36.0,0,0,12.88,0
3,1,24.0,0,0,8.85,0
3,0,24.0,0,0,7.9,0
3,0,23.5,0,0,7.23,0
1,1,2.0,1,2,151.55,0
1,1,50.0,0,1,247.52,1
3,0,19.0,0,0,0.0,0
1,0,0.9,1,2,151.55,1
1,1,17.0,1,0,108.9,1
2,0,30.0,1,0,24.0,0
1,1,30.0,0,0,56.93,1
1,1,24.0,0,0,83.16,1
1,1,18.0,2,2,262.38,1
2,1,26.0,1,1,26.0,0
3,0,28.0,0,0,7.9,0
2,0,43.0,1,1,26.25,0
3,1,26.0,0,0,7.85,1
2,1,24.0,1,0,26.0,1
2,0,54.0,0,0,14.0,0
1,1,31.0,0,2,164.87,1
1,1,40.0,1,1,134.5,1
3,0,22.0,0,0,7.25,0
3,0,27.0,0,0,7.9,0
2,1,30.0,0,0,12.35,1
2,1,22.0,1,1,29.0,1
1,1,36.0,0,0,135.63,1
3,0,61.0,0,0,6.24,0
2,1,36.0,0,0,13.0,1
3,1,31.0,1,1,20.52,1
1,1,16.0,0,1,57.98,1
1,0,45.5,0,0,28.5,0
1,0,38.0,0,1,153.46,0
3,0,16.0,2,0,18.0,0
1,0,29.0,1,0,66.6,0
1,1,41.0,0,0,134.5,1
3,0,45.0,0,0,8.05,1
1,0,45.0,0,0,35.5,0
2,0,2.0,1,1,26.0,1
1,1,24.0,3,2,263.0,1
2,0,28.0,0,0,13.0,0
2,0,25.0,0,0,13.0,0
2,0,36.0,0,0,13.0,0
2,1,24.0,0,0,13.0,1
2,1,40.0,0,0,13.0,1
3,0,3.0,1,1,15.9,1
3,0,42.0,0,0,8.66,0
3,0,23.0,0,0,9.22,0
3,0,15.0,1,1,7.23,0
3,0,25.0,1,0,17.8,0
3,0,28.0,0,0,9.5,0
1,1,22.0,0,1,55.0,1
2,1,38.0,0,0,13.0,0
3,0,40.0,1,4,27.9,0
2,0,29.0,1,0,27.72,0
3,1,45.0,0,1,14.45,0
3,0,35.0,0,0,7.05,0
3,0,30.0,0,0,7.25,0
1,1,60.0,1,0,75.25,1
1,1,24.0,0,0,69.3,1
1,0,25.0,1,0,55.44,1
3,0,18.0,1,0,6.5,0
3,0,19.0,0,0,8.05,0
1,0,22.0,0,0,135.63,0
3,1,3.0,3,1,21.08,0
3,1,22.0,0,0,7.25,1
1,0,27.0,0,2,211.5,0
3,0,20.0,0,0,4.01,0
3,0,19.0,0,0,7.78,0
1,1,42.0,0,0,227.52,1
3,1,1.0,0,2,15.74,1
3,0,32.0,0,0,7.92,0
1,1,35.0,1,0,52.0,1
2,0,18.0,0,0,73.5,0
3,0,1.0,5,2,46.9,0
2,1,36.0,0,0,13.0,1
2,1,17.0,0,0,12.0,1
1,0,36.0,1,2,120.0,1
3,0,21.0,0,0,7.8,1
3,0,28.0,2,0,7.92,0
1,1,23.0,1,0,113.28,1
3,1,24.0,0,2,16.7,1
3,0,22.0,0,0,7.8,0
3,1,31.0,0,0,7.85,0
2,0,46.0,0,0,26.0,0
2,0,23.0,0,0,10.5,0
2,1,28.0,0,0,12.65,1
3,0,39.0,0,0,7.92,1
3,0,26.0,0,0,8.05,0
3,1,21.0,1,0,9.82,0
3,0,28.0,1,0,15.85,0
3,1,20.0,0,0,8.66,0
2,0,34.0,1,0,21.0,0
3,0,51.0,0,0,7.75,0
2,0,3.0,1,1,18.75,1
3,0,21.0,0,0,7.78,0
1,1,33.0,1,0,90.0,1
3,0,44.0,0,0,7.92,1
2,1,34.0,1,1,32.5,1
2,1,18.0,0,2,13.0,1
2,0,30.0,0,0,13.0,0
3,1,10.0,0,2,24.15,0
3,0,21.0,0,0,7.73,0
3,0,29.0,0,0,7.88,0
3,1,28.0,1,1,14.4,0
3,0,18.0,1,1,20.21,0
2,1,28.0,1,0,26.0,1
2,1,19.0,0,0,26.0,1
3,0,32.0,0,0,8.05,1
1,0,28.0,0,0,26.55,1
2,1,42.0,1,0,26.0,1
3,0,17.0,0,0,7.12,0
1,0,50.0,1,0,55.9,0
1,1,14.0,1,2,120.0,1
3,1,21.0,2,2,34.38,0
2,1,24.0,2,3,18.75,1
1,0,64.0,1,4,263.0,0
2,0,31.0,0,0,10.5,0
2,1,45.0,1,1,26.25,1
3,0,20.0,0,0,9.5,0
3,0,25.0,1,0,7.78,0
2,1,28.0,0,0,13.0,1
1,0,4.0,0,2,81.86,1
2,1,13.0,0,1,19.5,1
1,0,34.0,0,0,26.55,1
3,1,5.0,2,1,19.26,1
1,0,52.0,0,0,30.5,1
2,0,36.0,1,2,27.75,0
1,0,30.0,0,0,27.75,0
1,0,49.0,1,0,89.1,1
3,0,29.0,0,0,7.9,1
1,0,65.0,0,0,26.55,0
2,1,50.0,0,0,10.5,1
1,0,48.0,0,0,26.55,1
3,0,34.0,0,0,8.05,0
1,0,47.0,0,0,38.5,0
2,0,48.0,0,0,13.0,0
3,0,38.0,0,0,7.05,0
1,0,56.0,0,0,26.55,0
3,1,0.8,2,1,19.26,1
3,0,38.0,0,0,8.66,0
2,1,33.0,1,2,27.75,1
2,1,23.0,0,0,13.79,1
3,1,22.0,0,0,9.84,0
2,0,34.0,1,0,21.0,0
3,0,29.0,1,0,7.05,0
3,0,22.0,0,0,7.52,0
3,1,2.0,0,1,12.29,1
3,0,9.0,5,2,46.9,0
3,0,50.0,0,0,8.05,0
3,1,63.0,0,0,9.59,1
1,0,25.0,1,0,91.08,1
1,1,35.0,1,0,90.0,1
1,0,58.0,0,0,29.7,0
3,0,30.0,0,0,8.05,0
3,0,9.0,1,1,15.9,1
3,0,21.0,0,0,7.25,0
1,0,55.0,0,0,30.5,0
1,0,71.0,0,0,49.5,0
3,0,21.0,0,0,8.05,0
1,1,54.0,1,0,78.27,1
1,1,25.0,1,2,151.55,0
3,0,24.0,0,0,7.8,0
3,0,17.0,0,0,8.66,0
3,1,21.0,0,0,7.75,0
3,1,37.0,0,0,9.59,0
1,1,16.0,0,0,86.5,1
1,0,18.0,1,0,108.9,0
2,1,33.0,0,2,26.0,1
3,0,28.0,0,0,22.52,0
3,0,26.0,0,0,56.5,1
3,0,29.0,0,0,7.75,1
1,0,36.0,0,0,26.29,1
1,1,54.0,1,0,59.4,1
3,0,24.0,0,0,7.5,0
1,0,47.0,0,0,34.02,0
2,1,34.0,0,0,10.5,1
2,1,36.0,1,0,26.0,1
3,0,32.0,0,0,7.9,0
1,1,30.0,0,0,93.5,1
3,0,22.0,0,0,7.9,0
1,1,44.0,0,1,57.98,1
3,0,40.5,0,0,7.75,0
2,1,50.0,0,0,10.5,1
3,0,39.0,0,0,7.92,0
2,0,23.0,2,1,11.5,0
2,1,2.0,1,1,26.0,1
3,0,17.0,1,1,7.23,0
3,1,30.0,0,0,8.66,0
2,1,7.0,0,2,26.25,1
1,0,45.0,0,0,26.55,0
1,1,30.0,0,0,106.42,1
1,1,22.0,0,2,49.5,1
1,1,36.0,0,2,71.0,1
3,1,9.0,4,2,31.28,0
3,1,11.0,4,2,31.28,0
2,0,32.0,1,0,26.0,1
1,0,50.0,1,0,106.42,0
1,0,64.0,0,0,26.0,0
2,1,19.0,1,0,26.0,1
3,0,33.0,1,1,20.52,0
2,0,8.0,1,1,36.75,1
1,0,17.0,0,2,110.88,1
2,0,27.0,0,0,26.0,0
3,0,22.0,0,0,7.22,1
3,1,22.0,0,0,7.78,1
1,0,62.0,0,0,26.55,0
1,1,48.0,1,0,39.6,1
1,1,39.0,1,1,79.65,1
3,1,36.0,1,0,17.4,1
3,0,40.0,0,0,7.9,0
2,0,28.0,0,0,13.5,0
3,0,24.0,2,0,24.15,0
3,0,19.0,0,0,7.9,0
3,1,29.0,0,4,21.08,0
3,0,32.0,0,0,7.85,1
2,0,62.0,0,0,10.5,1
1,1,53.0,2,0,51.48,1
1,0,36.0,0,0,26.39,1
3,0,16.0,0,0,8.05,0
3,0,19.0,0,0,14.5,0
2,1,34.0,0,0,13.0,1
1,1,39.0,1,0,55.9,1
3,0,32.0,0,0,7.92,1
2,1,25.0,1,1,30.0,1
1,1,39.0,1,1,110.88,1
2,0,54.0,0,0,26.0,0
1,0,36.0,0,0,40.12,0
1,1,18.0,0,2,79.65,1
2,0,47.0,0,0,15.0,0
1,0,60.0,1,1,79.2,1
3,0,22.0,0,0,8.05,0
3,0,35.0,0,0,7.12,0
1,1,52.0,1,0,78.27,1
3,0,47.0,0,0,7.25,0
2,0,37.0,1,0,26.0,0
3,0,36.0,1,1,24.15,0
3,0,49.0,0,0,0.0,0
1,0,49.0,1,0,56.93,1
2,1,24.0,2,1,27.0,1
3,0,44.0,0,0,8.05,0
1,0,35.0,0,0,26.55,1
3,0,36.0,1,0,15.55,0
3,0,30.0,0,0,7.9,0
1,0,27.0,0,0,30.5,1
2,1,22.0,1,2,41.58,1
1,1,40.0,0,0,153.46,1
3,1,39.0,1,5,31.28,0
3,0,35.0,0,0,8.05,0
2,1,24.0,1,2,65.0,1
3,0,34.0,1,1,14.4,0
3,1,26.0,1,0,16.1,0
2,1,4.0,2,1,39.0,1
2,0,26.0,0,0,10.5,0
3,0,27.0,1,0,14.45,0
1,0,42.0,1,0,52.55,1
3,0,20.0,1,1,15.74,1
3,0,21.0,0,0,7.85,0
3,0,21.0,0,0,16.1,0
1,0,61.0,0,0,32.32,0
2,0,57.0,0,0,12.35,0
1,1,21.0,0,0,77.96,1
3,0,26.0,0,0,7.9,0
1,0,80.0,0,0,30.0,1
3,0,51.0,0,0,7.05,0
1,0,32.0,0,0,30.5,1
3,1,9.0,3,2,27.9,0
2,1,28.0,0,0,13.0,1
3,0,32.0,0,0,7.92,0
2,0,31.0,1,1,26.25,0
3,1,41.0,0,5,39.69,0
3,0,20.0,0,0,7.85,0
1,1,24.0,0,0,69.3,1
3,1,2.0,3,2,27.9,0
3,1,0.8,2,1,19.26,1
1,0,48.0,1,0,76.73,1
3,0,19.0,0,0,7.9,0
1,0,56.0,0,0,35.5,1
3,1,23.0,0,0,7.55,1
2,1,18.0,0,1,23.0,1
3,0,21.0,0,0,8.43,0
3,1,18.0,0,0,6.75,0
2,0,24.0,2,0,73.5,0
3,1,32.0,1,1,15.5,0
2,0,23.0,0,0,13.0,0
1,0,58.0,0,2,113.28,0
1,0,50.0,2,0,133.65,1
3,0,40.0,0,0,7.22,0
1,0,47.0,0,0,25.59,0
3,0,36.0,0,0,7.5,0
3,0,20.0,1,0,7.92,1
2,0,32.0,2,0,73.5,0
2,0,25.0,0,0,13.0,0
3,0,43.0,0,0,8.05,0
2,1,40.0,1,1,39.0,1
1,0,31.0,1,0,52.0,0
2,0,70.0,0,0,10.5,0
2,0,31.0,0,0,13.0,1
3,0,18.0,0,0,7.78,0
3,0,24.5,0,0,8.05,0
3,1,18.0,0,0,9.84,1
3,1,43.0,1,6,46.9,0
1,0,36.0,0,1,512.33,1
1,0,27.0,0,0,76.73,1
3,0,20.0,0,0,9.22,0
3,0,14.0,5,2,46.9,0
2,0,60.0,1,1,39.0,0
2,0,25.0,1,2,41.58,0
3,0,14.0,4,1,39.69,0
3,0,19.0,0,0,10.17,0
3,0,18.0,0,0,7.8,0
1,1,15.0,0,1,211.34,1
1,0,31.0,1,0,57.0,1
3,1,4.0,0,1,13.42,1
3,0,25.0,0,0,7.22,0
1,0,60.0,0,0,26.55,0
2,0,52.0,0,0,13.5,0
3,0,44.0,0,0,8.05,0
1,0,49.0,1,1,110.88,0
3,0,42.0,0,0,7.65,0
1,1,18.0,1,0,227.52,1
1,0,35.0,0,0,26.29,1
3,1,18.0,0,1,14.45,0
3,0,25.0,0,0,7.74,0
3,0,26.0,1,0,7.85,0
2,0,39.0,0,0,26.0,0
2,1,45.0,0,0,13.5,1
1,0,42.0,0,0,26.29,1
1,1,22.0,0,0,151.55,1
1,1,24.0,0,0,49.5,1
1,0,48.0,1,0,52.0,1
3,0,29.0,0,0,9.48,0
2,0,52.0,0,0,13.0,0
3,0,19.0,0,0,7.65,0
1,1,38.0,0,0,227.52,1
2,1,27.0,0,0,10.5,1
3,0,33.0,0,0,7.78,0
2,1,6.0,0,1,33.0,1
3,0,17.0,1,0,7.05,0
2,0,34.0,0,0,13.0,0
2,0,50.0,0,0,13.0,0
1,0,27.0,1,0,53.1,1
3,0,20.0,0,0,8.66,0
2,1,30.0,3,0,21.0,1
2,0,25.0,1,0,26.0,0
3,1,25.0,1,0,7.92,0
1,1,29.0,0,0,211.34,1
3,0,11.0,0,0,18.79,0
2,0,23.0,0,0,13.0,0
2,0,23.0,0,0,13.0,0
3,0,28.5,0,0,16.1,0
3,1,48.0,1,3,34.38,0
1,0,35.0,0,0,512.33,1
1,0,36.0,1,0,78.85,0
1,1,21.0,2,2,262.38,1
3,0,24.0,1,0,16.1,0
3,0,31.0,0,0,7.92,1
1,0,70.0,1,1,71.0,0
3,0,16.0,1,1,20.25,0
2,1,30.0,0,0,13.0,1
1,0,19.0,1,0,53.1,0
3,0,31.0,0,0,7.75,0
2,1,4.0,1,1,23.0,1
3,0,6.0,0,1,12.48,1
3,0,33.0,0,0,9.5,0
3,0,23.0,0,0,7.9,0
2,1,48.0,1,2,65.0,1
2,0,0.7,1,1,14.5,1
3,0,28.0,0,0,7.8,0
2,0,18.0,0,0,11.5,0
3,0,34.0,0,0,8.05,0
1,1,33.0,0,0,86.5,1
3,0,41.0,0,0,7.12,0
3,0,20.0,0,0,7.23,1
1,1,36.0,1,2,120.0,1
3,0,16.0,0,0,7.78,0
1,1,51.0,1,0,77.96,1
3,1,30.5,0,0,7.75,0
3,0,32.0,0,0,8.36,0
3,0,24.0,0,0,9.5,0
3,0,48.0,0,0,7.85,0
2,1,57.0,0,0,10.5,0
2,1,54.0,1,3,23.0,1
3,0,18.0,0,0,7.75,0
3,1,5.0,0,0,12.48,1
1,1,43.0,0,1,211.34,1
3,1,13.0,0,0,7.23,1
1,1,17.0,1,0,57.0,1
1,0,29.0,0,0,30.0,0
3,0,25.0,0,0,7.05,0
3,0,25.0,0,0,7.25,0
3,1,18.0,0,0,7.5,1
3,0,8.0,4,1,29.12,0
3,0,1.0,1,2,20.58,1
1,0,46.0,0,0,79.2,0
2,0,16.0,0,0,26.0,0
3,0,25.0,0,0,7.9,0
2,0,39.0,0,0,13.0,0
1,1,49.0,0,0,25.93,1
3,1,31.0,0,0,8.68,1
3,0,30.0,0,0,7.23,0
3,1,30.0,1,1,24.15,0
2,0,34.0,0,0,13.0,0
2,1,31.0,1,1,26.25,1
1,0,11.0,1,2,120.0,1
3,0,0.4,0,1,8.52,1
3,0,27.0,0,0,6.98,1
3,0,31.0,0,0,7.78,0
1,0,39.0,0,0,0.0,0
3,1,18.0,0,0,7.78,0
2,0,39.0,0,0,13.0,0
1,1,33.0,1,0,53.1,1
3,0,26.0,0,0,7.89,0
3,0,39.0,0,0,24.15,0
2,0,35.0,0,0,10.5,0
3,1,6.0,4,2,31.28,0
3,0,30.5,0,0,8.05,0
3,1,23.0,0,0,7.92,0
2,0,31.0,1,1,37.0,0
3,0,43.0,0,0,6.45,0
3,0,10.0,3,2,27.9,0
1,1,52.0,1,1,93.5,1
3,0,27.0,0,0,8.66,1
1,0,38.0,0,0,0.0,0
3,1,27.0,0,1,12.48,1
3,0,2.0,4,1,39.69,0
2,0,1.0,0,2,37.0,1
1,1,62.0,0,0,80.0,1
3,1,15.0,1,0,14.45,1
2,0,0.8,1,1,18.75,1
3,0,23.0,0,0,7.85,0
3,0,18.0,0,0,8.3,0
1,1,39.0,1,1,83.16,1
3,0,21.0,0,0,8.66,0
3,0,32.0,0,0,56.5,1
3,0,20.0,0,0,7.92,0
2,0,16.0,0,0,10.5,0
1,1,30.0,0,0,31.0,1
3,0,34.5,0,0,6.44,0
3,0,17.0,0,0,8.66,0
3,0,42.0,0,0,7.55,0
3,0,35.0,0,0,7.9,0
2,0,28.0,0,1,33.0,0
3,0,4.0,4,2,31.28,0
3,0,74.0,0,0,7.78,0
3,1,9.0,1,1,15.25,0
1,1,16.0,0,1,39.4,1
2,1,44.0,1,0,26.0,0
3,1,18.0,0,1,9.35,1
1,1,45.0,1,1,164.87,1
1,0,51.0,0,0,26.55,1
3,1,24.0,0,3,19.26,1
3,0,41.0,2,0,14.11,0
2,0,21.0,1,0,11.5,0
1,1,48.0,0,0,25.93,1
2,0,24.0,0,0,13.0,0
2,1,42.0,0,0,13.0,1
2,1,27.0,1,0,13.86,1
1,0,31.0,0,0,50.5,0
3,0,4.0,1,1,11.13,1
3,0,26.0,0,0,7.9,0
1,1,47.0,1,1,52.55,1
1,0,33.0,0,0,5.0,0
3,0,47.0,0,0,9.0,0
2,1,28.0,1,0,24.0,1
3,1,15.0,0,0,7.22,1
3,0,20.0,0,0,9.85,0
3,0,19.0,0,0,7.9,0
1,1,56.0,0,1,83.16,1
2,1,25.0,0,1,26.0,1
3,0,33.0,0,0,7.9,0
3,1,22.0,0,0,10.52,0
2,0,28.0,0,0,10.5,0
3,0,25.0,0,0,7.05,0
3,1,39.0,0,5,29.12,0
2,0,27.0,0,0,13.0,0
1,1,19.0,0,0,30.0,1
1,0,26.0,0,0,30.0,1
3,0,32.0,0,0,7.75,0
